Recyear,Janprcp,Febprcp,Marprcp,Aprprcp,Mayprcp,Junprcp,Julprcp,Augprcp,Sepprcp,Octprcp,Novprcp,Decprcp,Annprcp
1891,41.70,21.30,56.60,13.20,121.70,189.20,114.60,24.90,37.10,62.20,6.60,27.70,742.20
1892,13.00,76.20,117.10,73.70,168.90,8.10,98.30,110.00,9.40,33.80,16.50,45.00,769.90
1893,.50,22.60,39.90,32.50,145.50,159.00,122.20,74.20,62.20,18.00,20.60,17.80,715.00
1894,18.00,27.90,17.00,33.80,96.00,128.30,57.70,12.20,84.80,42.90,2.50,9.70,530.90
1895,17.50,35.30,30.50,37.10,76.70,137.90,165.40,272.80,25.90,13.50,29.70,15.00,857.30
1896,6.60,14.00,22.10,139.40,188.20,66.80,136.90,57.40,128.50,130.30,23.10,6.60,920.00
1897,33.50,30.50,55.60,106.40,58.40,126.20,87.40,22.10,13.50,51.30,13.70,32.50,631.20
1898,23.10,34.80,34.00,114.00,216.90,126.70,63.00,45.20,74.20,49.00,36.30,33.80,851.20
1899,3.80,21.80,84.10,23.60,116.80,190.50,169.20,62.00,44.50,48.00,12.20,28.70,805.20
1900,3.00,75.40,12.40,79.50,103.10,30.20,111.00,72.10,136.40,74.20,25.70,10.40,733.60
1901,9.70,50.30,45.70,110.70,43.90,57.90,43.70,67.30,114.00,50.30,26.40,7.90,627.90
1902,27.70,12.20,34.80,20.30,185.40,202.20,180.30,313.70,87.60,55.60,61.20,30.00,1211.00
1903,16.50,47.00,33.00,77.50,329.40,40.90,96.50,156.70,75.70,99.10,38.40,10.20,1021.00
1904,16.50,2.50,54.60,118.40,144.00,160.30,168.90,48.00,104.40,25.10,8.90,14.70,866.40
1905,29.70,43.90,62.20,48.30,152.70,98.80,125.70,38.10,109.70,55.60,91.40,.00,856.20
1906,22.60,40.60,53.80,67.60,50.80,170.90,134.10,161.80,117.30,21.10,56.10,16.30,913.10
1907,40.40,40.90,34.80,34.30,26.70,130.00,164.10,49.30,79.00,66.80,28.40,28.40,723.10
1908,3.80,40.90,10.20,74.40,236.70,258.60,143.80,242.10,15.70,46.20,37.30,9.40,1119.00
1909,5.60,32.30,86.40,52.60,112.00,127.00,243.10,15.00,132.30,40.60,202.70,55.60,1105.00
1910,37.10,7.60,.30,13.00,221.20,46.70,148.10,271.80,70.90,22.90,5.10,14.20,858.80
1911,15.50,146.80,21.60,48.00,55.40,2.50,54.10,140.50,114.00,39.40,26.70,60.20,724.70
1912,7.60,62.70,164.80,35.60,49.00,89.70,82.00,85.90,88.90,85.60,1.30,10.40,763.50
1913,19.10,57.20,14.20,75.20,182.40,39.40,4.30,16.50,144.50,66.30,48.80,97.50,765.30
1914,2.50,35.80,51.10,30.20,59.20,116.30,61.00,90.40,146.30,40.10,.00,35.30,668.30
1915,66.00,114.30,54.40,51.80,240.00,169.90,305.10,78.00,99.60,68.80,23.60,19.30,1291.00
1916,37.30,6.40,36.10,55.10,162.60,188.70,48.80,19.30,206.20,67.30,86.90,30.70,945.40
1917,7.60,1.30,18.30,116.60,128.00,121.90,17.30,175.80,41.40,26.90,2.50,3.80,661.40
1918,16.50,13.20,19.30,116.80,131.30,39.60,50.30,87.10,59.70,123.70,39.40,61.00,757.90
