Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
1B,1B,8.26,20.4,1972/4/22,PP,1972,001B,
R20A,1A,26.332,65.068,1972/4/22,PP,1972,001A,
20C,pre-1978 1D,8.39,20.72,1972/4/23,PP,1972,001D,
R20B,1C,12.315,30.431,1972/4/23,PP,1972,001C,
SuA,pre-1978 2D,7.568,18.701,1973/4/23,WP,1973,002D,
SuA,pre-1978 10D,14.416,35.623,1973/4/23,WU,1973,010D,
WA,pre-1978 4C,9.221,22.786,1973/4/23,WU,1973,004C,
WA,unassigned ,2.378,5.877,1973/4/23,WU,1973,N/A,
SuB,WC,4.107,10.148,1973/4/23,WU,1973,099C,
SuB,unassigned ,2.369,5.853,1973/4/23,WU,1973,N/A,
WB,pre-1978 4D,11.55,28.55,1973/4/23,WU,1973,004D,
R20B,1C,10,24,1973/4/23,WP,1973,001C,
N4D,10C,2.69,6.647,1973/4/23,WU,1973,010C,
N4D,unassigned ,4.568,11.287,1973/4/23,WU,1973,N/A,
20B,pre-1978 4C,2.62,6.47,1973/4/23,WU,1973,004C,
20B,pre-1978 UC,6.13,15.14,1973/4/23,WU,1973,00UC,
20B,unassigned,14.84,36.67,1973/4/23,WU,1973,N/A,
N1B,N1B,1,2,1973/4/23,WU,1973,N01B,
20C,pre-1978 1D,5.13,12.68,1973/4/23,PU ,1973,001D,
20C,pre-1978 1D,0.86,2.13,1973/4/23,WU,1973,001D,
20C,pre-1978 UD,11.28,27.88,1973/4/23,WU,1973,00UD,
20C,WD,6.53,16.14,1973/4/23,WU,1973,099D,
2C,2C,9,22,1973/4/23,WP,1973,002C,
4F,pre-1978 WC,7.01,17.32,1973/4/23,WU,1973,00WC,
4F,unassigned ,4.07,10.06,1973/4/23,WU,1973,N/A,
FB,WC,11.181,27.628,1973/4/23,WU,1973,099C,
FA,pre-1978 UC,11.089,27.402,1973/4/23,WU,1973,00UC,
SuA,WC,0.869,2.148,1973/4/28,PU,1973,099C,
R20B,1C,2.32,6.43,1973/4/28,PP,1973,001C,
2C,2C,22.95,56.72,1973/4/28,PP ,1973,002C,
SpA,pre-1978 2B,1.552,3.836,1973/5/3,PP,1973,002B,
2B,2B,6.08,15.02,1973/5/3,PP,1973,002B,
1B,1B,11.07,27.36,1973/5/3,PP,1973,001B,
R20A,1A,12.43,30.715,1973/5/8,WU,1973,001A,
R1A,UA,14.414,35.617,1973/5/8,WU,1973,00UA,
R1A,pre-1978 WA,6.685,16.519,1973/5/8,WU,1973,099A,
R1A,unassigned ,7.456,18.425,1973/5/8,WU,1973,N/A,
2A,2A,16.64,41.11,1973/5/8,WU,1973,002A,
