Watershed,freq_freq_1980,fire_freq_1990,num_fire_1990
1D,1,1,31
1B,1.108108108,1.033333333,30
K1B,1.242424242,1.033333333,30
2A,1.952380952,1.9375,16
2B,1.952380952,1.9375,16
2C,2.05,2.066666667,15
2D,1.863636364,1.823529412,17
K2A,2.411764706,2.066666667,15
4F,2.928571429,2.818181818,11
4A,3.727272727,3.875,8
4B,3.727272727,3.444444444,9
K4A,3.727272727,3.875,8
N1A,1.138888889,1,31
N1B,1.242424242,1,31
N2A,2.157894737,1.9375,16
N2B,2.411764706,1.9375,16
N4D,4.555555556,3.875,8
N4A,3.727272727,3.444444444,9
N4B,3.416666667,3.444444444,9
N4C,4.555555556,3.875,8
