Stem_id,Watershed,Species,Height_m,Diam_at_0pt5_cm,Diam_at_1pt3,Leaf_area_cm2,Leaf_mass_g,Stem_mass_g,Stem_mass_g,Flower_fruit_mass_g,Bag_size,Notes,Year,old_2021_diam_at_0pt5,old_2021_diam_at_1pt3
1,N2A,RHAR,0.72,0.62,NA,2021,20.65,29.47,,,S,,2020,,
2,N2A,RHAR,0.61,0.29,NA,1270,11.87,18.67,,,S,,2020,,
3,N2A,RHAR,0.53,0.33,NA,427,5.24,3.43,,,S,,2020,,
4,N2B,RHGL,1.05,0.71,NA,1490,14.1,18.35,,,S,,2020,,
5,N2B,RHGL,0.83,1.23,NA,2897,29.66,42.64,,7.2,S,,2020,,
6,N2B,RHGL,1.2,1.83,NA,8950,87.51,99.33,,17.74,M,,2020,,
7,N2B,RHGL,0.87,1.03,NA,4752,54.09,37.85,,,M,,2020,,
8,N2B,PRAM,0.98,0.72,NA,2052,20.17,24.23,,,S,,2020,,
9,N2B,PRAM,0.6,0.38,NA,631,6.11,9.78,,,S,,2020,,
10,N2B,RUPE,0.68,0.35,NA,1108,7.57,6.11,,,S,,2020,,
11,N2B,PRAM,1.58,1.21,0.3,8548,54.84,128.96,,,M,,2020,,
12,N2B,RHAR,0.67,0.38,NA,1127,12.63,14.88,,,S,,2020,,
13,N2B,RHGL,0.7,0.34,NA,2751,17.71,14.72,,,S,,2020,,
14,N2B,RUPE,0.96,0.63,NA,1028,7.77,9.07,,,S,,2020,,
15,N2B,ZAAM,1.28,1,NA,3143,26.96,39.19,,,S,,2020,,
16,N2B,ZAAM,1.07,0.84,NA,2533,23.01,30.71,,,M,,2020,,
17,N2B,ZAAM,1.12,0.82,NA,4148,33.17,40.78,,,M,,2020,,
18,N2B,ZAAM,0.78,0.39,NA,1242,12.45,11.96,,,S,,2020,,
19,N2B,ZAAM,0.66,0.35,NA,430,3.61,5.69,,,S,,2020,,
20,N2B,PRAM,0.64,0.23,NA,874,6.89,6.15,,,S,,2020,,
21,N2B,PRAM,0.66,0.43,NA,150,1.38,7.34,,,S,,2020,,
22,N2B,RHAR,0.53,0.3,NA,550,5.58,5.14,,,S,,2020,,
23,N2B,RHAR,0.97,0.94,NA,1645,15.65,24.53,,,S,,2020,,
24,N2B,RHAR,0.69,0.26,NA,715,6.08,7.58,,,S,,2020,,
25,N2B,RHGL,0.62,0.48,NA,1020,11.98,11.87,,,S,,2020,,
26,N2B,RHGL,1.77,1.52,0.97,8251,88.23,103.89,,19.61,S,,2020,,
27,N2B,RHGL,1.65,1.66,1.36,8417,93.6,118.97,,,M,,2020,,
28,N2B,RUPE,1.09,0.74,NA,2712,20.51,18.78,,,S,,2020,,
29,N2B,ZAAM,1.42,1.27,0.29,4654,35.49,90.37,,,M,,2020,,
30,N2B,RHGL,0.95,0.77,NA,2283,28.66,19.09,,,M,,2020,,
31,N2B,RHGL,1.22,0.8,NA,1278,14.28,27.47,,,S,,2020,,
